id,jenis_kerjasama,kategori,ruang_lingkup
1,antar-perguruan tinggi,akademik,"pendidikan, penelitian, dan pengabdian kepada masyarakat"
2,antar-perguruan tinggi,akademik,"pendidikan, penelitian, dan pengabdian kepada masyarakat"
3,antar-perguruan tinggi,akademik,"pendidikan, penelitian, dan pengabdian kepada masyarakat"
4,antar-perguruan tinggi,akademik,penjaminan mutu internal
5,antar-perguruan tinggi,akademik,program kembaran
6,antar-perguruan tinggi,akademik,gelar bersama/ joint degree
7,antar-perguruan tinggi,akademik,gelar ganda/ double degree
8,antar-perguruan tinggi,akademik,pengalihan dan/ atau pemerolehan angka kredit dan/ atau satuan lain yang sejenis
9,antar-perguruan tinggi,akademik,penugasan dosen senior sebagai pembina pada perguruan tinggi yang membutuhkan pembinaan
10,antar-perguruan tinggi,akademik,pertukaran dosen dan/ atau mahasiswa
11,antar-perguruan tinggi,akademik,pemanfaatan bersama berbagai sumber daya
12,antar-perguruan tinggi,akademik,pengembangan pusat kajian Indonesia dan budaya lokal
13,antar-perguruan tinggi,akademik,penerbitan berkala ilmiah
14,antar-perguruan tinggi,akademik,pemagangan
15,antar-perguruan tinggi,akademik,penyelenggaraan seminar bersama
16,antar-perguruan tinggi,non-akademik,pendayagunaan aset
17,antar-perguruan tinggi,non-akademik,penggalangan dana
18,antar-perguruan tinggi,non-akademik,jasa dan royalti hak kekayaan intelektual
19,perguruan tinggi dan mitra dudi,akademik,pengembangan sumber daya manusia
20,perguruan tinggi dan mitra dudi,akademik,penelitian dan/ atau pengabdian kepada masyarakat
21,perguruan tinggi dan mitra dudi,akademik,pemerolehan angka kredit dan/ atau satuan lain yang sejenis
22,perguruan tinggi dan mitra dudi,akademik,pemanfaatan bersama berbagai sumber daya
23,perguruan tinggi dan mitra dudi,akademik,penerbitan terbitan/ jurnal berkala ilmiah
24,perguruan tinggi dan mitra dudi,akademik,penyelenggaraan seminar bersama
25,perguruan tinggi dan mitra dudi,akademik,layanan keahlian praktis oleh dosen tamu yang berasal dari dunia usaha
26,perguruan tinggi dan mitra dudi,akademik,pemberian beasiswa atau bantuan biaya pendidikan
27,perguruan tinggi dan mitra dudi,non-akademik,pendayagunaan aset
28,perguruan tinggi dan mitra dudi,non-akademik,penggalangan dana
29,perguruan tinggi dan mitra dudi,non-akademik,jasa dan royalti penggunaan hak kekayaan intelektual
30,perguruan tinggi dan mitra dudi,non-akademik,pengurangan tarif
31,perguruan tinggi dan mitra dudi,non-akademik,koordinator kegiatan
32,perguruan tinggi dan mitra dudi,non-akademik,pemberdayaan masyarakat